,InBallPos,Shirt,Speed,Ts,dist to closest home,dist to closest visitor,zone,inZone,opponentsHalf,distanceToOpponentGoal,distanceToOwnGoal,angleOpponentToPassline,distanceToInPossession,distanceToOpponentRating,angleToPasslineRating,distanceToPossessionRating,distanceToOpponentGoalRating,curPositioningRating,PlayerID,positioningRating
830,0.0,0.0,3.09,3.6,9.504,15.597,0.0,0,0,72.62693684852749,32.492644644596105,,,,,,,,,
831,0.0,0.0,3.74,3.6,8.939,7.039,0.0,0,0,77.07955605087513,34.438611484785504,,,,,,,,,
832,0.0,0.0,3.16,3.6,8.65,7.229,0.0,0,0,79.76238008610325,41.399242468914814,,,,,,,,,
833,0.0,0.0,4.04,3.6,9.504,7.725,0.0,0,0,65.62387672943439,39.70243313702575,,,,,,,,,
834,0.0,28.0,3.36,3.6,8.939,11.152,0.0,0,0,75.6048372261987,30.95692833599613,,,,,,,,,
835,0.0,30.0,4.18,3.6,10.514,2.323,0.0,0,0,62.82838426221066,45.76194782786239,,,,,,,,,
836,0.0,0.0,4.13,3.6,8.65,4.49,0.0,0,0,71.34821217101378,44.27535860950197,,,,,,,,,
837,0.0,0.0,2.56,3.6,13.489,3.5,0.0,0,0,54.119471172582614,51.50705932199974,,,,,,,,,
838,0.0,0.0,3.65,3.6,13.489,4.354,0.0,0,0,43.02082455044301,62.080442532250046,,,,,,,,,
839,0.0,1.0,2.19,3.6,30.127,25.78,0.0,0,0,92.14830572506473,12.903110012706236,,,,,,,,,
840,0.0,6.0,4.25,3.6,12.072,13.097,0.0,0,0,62.72720963824232,46.19472728569787,,,,,,,,,
841,0.0,5.0,1.38,3.6,4.354,9.839,0.0,0,0,66.43297790254475,38.67842490329719,,,,,,,,,
842,0.0,4.0,3.11,3.6,10.441,9.839,0.0,0,0,66.19068629346577,39.941794551572166,,,,,,,,,
843,0.0,2.0,3.9,3.6,9.993,11.856,0.0,0,0,51.63869202448877,58.54745523077839,,,,,,,,,
844,0.0,3.0,5.37,3.6,7.229,13.354,0.0,0,0,48.578792183420944,75.98321558081099,,,,,,,,,
845,0.0,11.0,5.18,3.6,2.323,5.706,0.0,0,0,47.805357659994556,60.50497682835685,,,,,,,,,
846,0.0,8.0,5.14,3.6,10.173,9.494,0.0,0,0,50.224128782886815,55.13912505653313,,,,,,,,,
847,0.0,7.0,3.82,3.6,3.5,9.494,0.0,0,0,48.044441967828085,57.40808657323461,,,,,,,,,
848,0.0,9.0,5.76,3.6,4.49,8.243,0.0,0,0,41.28308501069173,70.9392212249331,,,,,,,,,
849,0.0,10.0,4.23,3.6,3.788,5.706,0.0,0,0,42.09966993932375,65.60116011931497,,,,,,,,,
850,0.0,1.0,,3.7,10.273,3.0980000000000003,0.0,0,0,,,,,,,,,,,
851,0.0,0.0,1.2,3.7,23.602,33.789,0.0,0,0,98.14511599667097,7.156381348139575,,,,,,,,,
852,0.0,0.0,3.51,3.7,13.4,9.979,0.0,0,0,67.40739100425115,41.314239216037855,,,,,,,,,
853,0.0,0.0,3.2,3.7,9.501,15.502,0.0,0,0,72.87625114534913,32.22573476276375,,,,,,,,,
854,0.0,0.0,3.83,3.7,8.961,6.7029999999999985,0.0,0,0,77.42010284803294,34.30280345686049,,,,,,,,,
855,0.0,0.0,3.22,3.7,8.564,6.915,0.0,0,0,80.08168318036279,41.26470623910947,,,,,,,,,
856,0.0,0.0,4.1,3.7,9.501,7.484,0.0,0,0,65.96003266372752,39.409464713441615,,,,,,,,,
857,0.0,28.0,3.48,3.7,8.961,10.945,0.0,0,0,75.8938693835016,30.757916216805068,,,,,,,,,
858,0.0,30.0,4.25,3.7,10.5,2.195,0.0,0,0,63.215690599723736,45.509927905897634,,,,,,,,,
859,0.0,0.0,4.16,3.7,8.564,4.6560000000000015,0.0,0,0,71.7629803450219,44.005742216215374,,,,,,,,,
860,0.0,0.0,2.51,3.7,13.728,3.656,0.0,0,0,54.293091752082056,51.29795134310921,,,,,,,,,
861,0.0,0.0,3.68,3.7,13.728,4.323,0.0,0,0,43.08247239887702,62.0538429752743,,,,,,,,,
862,0.0,1.0,2.36,3.7,30.002,25.679,0.0,0,0,91.9751315193406,13.090256605582644,,,,,,,,,
863,0.0,6.0,4.28,3.7,11.843,13.212,0.0,0,0,62.34433963881565,46.62002450664306,,,,,,,,,
864,0.0,5.0,1.58,3.7,4.323,9.97,0.0,0,0,66.3636099379773,38.76014349818638,,,,,,,,,
865,0.0,4.0,3.22,3.7,10.677,9.97,0.0,0,0,65.87513403401924,40.2496370666867,,,,,,,,,
866,0.0,2.0,3.94,3.7,9.979,11.742,0.0,0,0,51.2804969749709,58.74878185971178,,,,,,,,,
867,0.0,3.0,5.47,3.7,6.915,13.272,0.0,0,0,48.12459060605088,76.43216744931416,,,,,,,,,
