,PlayerID,TeamID,Ts,X,Y,Acceleration,Snelheid,Ts,TeamCentXA,TeamCentYA,LengthA,WidthA,TeamCentXB,TeamCentYB,LengthB,WidthB,distToCent,SpreadA,stdSpreadA,SpreadB,stdSpreadB,SurfaceA,SumVerticesA,ShapeRatioA,SurfaceB,SumVerticesB,ShapeRatioB,vNorm,distFrame,avgRelSpeedPlayerBall,control,distToBall,InPossession,ballPosession
136,ball,,13.8,-2.049,-1.121,-4.23,4.91,13.8,,,,,,,,,,,,,,,,,,,,,,,,,0,
137,ball,,13.9,-1.587,-1.349,17.48,5.61,13.9,,,,,,,,,,,,,,,,,,,,,,,,,0,
138,ball,,14.0,-1.132,-1.575,25.58,7.94,14.0,,,,,,,,,,,,,,,,,,,,,,,,,0,
139,ball,,14.1,-0.695,-1.797,24.26,10.09,14.1,,,,,,,,,,,,,,,,,,,,,,,,,0,
140,ball,,14.2,-0.22,-2.033,22.94,12.6,14.2,,,,,,,,,,,,,,,,,,,,,,,,,0,
141,ball,,14.3,-0.172,-1.921,16.62,14.55,14.3,,,,,,,,,,,,,,,,,,,,,,,,,0,
142,ball,,14.4,-1.149,-1.128,13.35,16.11,14.4,,,,,,,,,,,,,,,,,,,,,,,,,0,
143,ball,,14.5,-3.457,0.5760000000000001,9.48,17.22,14.5,,,,,,,,,,,,,,,,,,,,,,,,,0,
144,ball,,14.6,-6.1389999999999985,0.7340000000000001,8.56,18.09,14.6,,,,,,,,,,,,,,,,,,,,,,,,,0,
145,ball,,14.7,-8.492,-1.212,9.23,18.89,14.7,,,,,,,,,,,,,,,,,,,,,,,,,0,
146,ball,,14.8,-10.306,-2.884,11.37,20.02,14.8,,,,,,,,,,,,,,,,,,,,,,,,,0,
147,ball,,14.9,-11.827,-4.293,-10.42,20.03,14.9,,,,,,,,,,,,,,,,,,,,,,,,,0,
148,ball,,15.0,-13.232,-5.0710000000000015,-19.0,18.39,15.0,,,,,,,,,,,,,,,,,,,,,,,,,0,
149,ball,,15.1,-14.583,-5.231,-17.19,16.88,15.1,,,,,,,,,,,,,,,,,,,,,,,,,0,
150,ball,,15.2,-15.905,-5.3889999999999985,-15.58,15.13,15.2,,,,,,,,,,,,,,,,,,,,,,,,,0,
151,ball,,15.3,-17.192,-5.542000000000002,-12.23,13.76,15.3,,,,,,,,,,,,,,,,,,,,,,,,,0,
152,ball,,15.4,-18.451,-5.695,-9.25,12.6,15.4,,,,,,,,,,,,,,,,,,,,,,,,,0,
153,ball,,15.5,-19.671,-5.843,-4.82,11.93,15.5,,,,,,,,,,,,,,,,,,,,,,,,,0,
154,ball,,15.6,-20.843000000000004,-5.98,-4.66,11.53,15.6,,,,,,,,,,,,,,,,,,,,,,,,,0,
155,ball,,15.7,-22.094,-5.622000000000001,-4.42,11.04,15.7,,,,,,,,,,,,,,,,,,,,,,,,,0,
156,ball,,15.8,-23.131,-5.306,-4.86,10.58,15.8,,,,,,,,,,,,,,,,,,,,,,,,,0,
157,ball,,15.9,-24.038,-5.404,-5.13,10.07,15.9,,,,,,,,,,,,,,,,,,,,,,,,,0,
158,ball,,16.0,-24.905,-5.768,-4.14,9.61,16.0,,,,,,,,,,,,,,,,,,,,,,,,,0,
159,ball,,16.1,-25.642,-6.374,-5.15,9.2,16.1,,,,,,,,,,,,,,,,,,,,,,,,,0,
160,ball,,16.2,-26.457,-6.604,-5.45,8.63,16.2,,,,,,,,,,,,,,,,,,,,,,,,,0,
161,ball,,16.3,-27.286,-6.6720000000000015,-2.62,8.24,16.3,,,,,,,,,,,,,,,,,,,,,,,,,0,
162,ball,,16.4,-27.981,-6.973,-2.22,8.0,16.4,,,,,,,,,,,,,,,,,,,,,,,,,0,
163,ball,,16.5,-28.72,-7.12,-2.97,7.73,16.5,,,,,,,,,,,,,,,,,,,,,,,,,0,
164,ball,,16.6,-29.49,-7.182,-2.59,7.42,16.6,,,,,,,,,,,,,,,,,,,,,,,,,0,
165,ball,,16.7,-30.197,-7.355,-2.26,7.2,16.7,,,,,,,,,,,,,,,,,,,,,,,,,0,
166,ball,,16.8,-30.884,-7.513,-1.87,6.98,16.8,,,,,,,,,,,,,,,,,,,,,,,,,0,
167,ball,,16.9,-31.542,-7.686,-1.51,6.83,16.9,,,,,,,,,,,,,,,,,,,,,,,,,0,
168,ball,,17.0,-32.208,-7.817,-2.08,6.65,17.0,,,,,,,,,,,,,,,,,,,,,,,,,0,
169,ball,,17.1,-32.837,-7.99,-1.94,6.44,17.1,,,,,,,,,,,,,,,,,,,,,,,,,0,
